,tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,preprocessed_text,predict_directed,predict_emotion,positive,negative,predict_positive,predict_negative
11,Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,Android App,Positive emotion,"['find', 'amp', 'start', 'impromptu', 'parti', 'sxsw', 'hurricaneparti', 'http', 'bit', 'gvlrin', 'wait', 'til', 'android', 'app', 'come']",Android App,Positive emotion,1,0,1,0
12,"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",Android App,Positive emotion,"['foursquar', 'up', 'game', 'time', 'sxsw', 'http', 'grn7pk', 'still', 'prefer', 'gowalla', 'far', 'best', 'look', 'android', 'app', 'date']",Android App,Positive emotion,1,0,1,0
13,Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,Other Google product or service,Positive emotion,"['gotta', 'love', 'sxsw', 'googl', 'calendar', 'featur', 'top', 'parti', 'show', 'case', 'check', 'hamsandwich', 'via', 'ischaf', 'http', 'bit', 'axzwxb']",Google,Positive emotion,1,0,1,0
14,Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,iPad or iPhone App,Positive emotion,"['great', 'sxsw', 'ipad', 'app', 'madebymani', 'http', 'tinyurl', 'com', '4nqv92l']",Ipad or Iphone App,Positive emotion,1,0,1,0
15,"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",iPad or iPhone App,Positive emotion,"['haha', 'awesom', 'rad', 'ipad', 'app', 'madebymani', 'http', 'bit', 'htdfim', 'hollergram', 'sxsw']",Ipad or Iphone App,Positive emotion,1,0,1,0
16,Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,,No emotion toward brand or product,"['holler', 'gram', 'ipad', 'itun', 'app', 'store', 'http', 'kfn3f5q', 'via', 'marc_is_ken', 'sxsw']",Ipad or Iphone App,No emotion,0,0,0,0
17,I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,iPhone,Negative emotion,"['notic', 'dst', 'come', 'weekend', 'mani', 'iphon', 'user', 'hour', 'late', 'sxsw', 'come', 'sunday', 'morn', 'sxsw', 'iphon']",Iphone,No emotion,0,1,0,0
18,"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",iPad or iPhone App,Positive emotion,"['ad', 'sxsw', 'flight', 'plane', 'match', 'peopl', 'plane', 'airport', 'also', 'download', 'klm', 'iphon', 'app', 'nice', 'done']",Ipad or Iphone App,Positive emotion,1,0,1,0
19,Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,iPad or iPhone App,Positive emotion,"['must', 'sxsw', 'app', 'malbonst', 'love', 'review', 'forb', 'sxsw', 'ipad', 'app', 'holler', 'gram', 'http', 'g4gzypv']",Ipad or Iphone App,Positive emotion,1,0,1,0
20,Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,iPad,Positive emotion,"['need', 'buy', 'ipad2', 'austin', 'sxsw', 'sure', 'need', 'austin', 'appl', 'store']",Apple,No emotion,1,0,0,0
21,"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",iPad or iPhone App,Positive emotion,"['god', 'sxsw', 'app', 'ipad', 'pure', 'unadulter', 'awesom', 'easier', 'brows', 'event', 'ipad', 'websit']",Ipad or Iphone App,Positive emotion,1,0,1,0
22,"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Android App,Positive emotion,"['okay', 'realli', 'yay', 'new', 'foursquar', 'android', 'app', 'kthxbai', 'sxsw']",Android App,No emotion,1,0,0,0
23,"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",iPad or iPhone App,Positive emotion,"['photo', 'instal', 'sxsw', 'iphon', 'app', 'realli', 'nice', 'http', 'tumblr', 'com', 'x6t1pi6av7']",Ipad or Iphone App,Positive emotion,1,0,1,0
24,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,Positive emotion,"['realli', 'enjoy', 'chang', 'gowalla', 'android', 'look', 'forward', 'see', 'els', 'amp', 'foursquar', 'sleev', 'sxsw']",Android,Positive emotion,1,0,1,0
25,"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,Positive emotion,"['laurieshook', 'look', 'forward', 'smcdalla', 'pre', 'sxsw', 'parti', 'wed', 'hope', 'win', 'ipad', 'result', 'shameless', 'promot', 'chevysmc']",Ipad,No emotion,1,0,0,0
26,"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,Positive emotion,"['haha', 'awesom', 'rad', 'ipad', 'app', 'madebymani', 'http', 'bit', 'htdfim', 'hollergram', 'sxsw', 'via', 'michaelpiliero']",Ipad or Iphone App,Positive emotion,1,0,1,0
27,"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,Positive emotion,"['someon', 'start', 'austin', 'partnerhub', 'group', 'googl', 'group', 'pre', 'sxsw', 'great', 'idea']",Google,Positive emotion,1,0,1,0
28,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,Positive emotion,"['new', '4sq3', 'look', 'like', 'go', 'rock', 'updat', 'iphon', 'android', 'push', 'tonight', 'http', 'bit', 'etsbzk', 'sxsw', 'keepaustinweird']",Iphone,Positive emotion,1,0,1,0
29,"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,Positive emotion,"['right', 'gowalla', 'app', 'android', 'sweeeeet', 'nice', 'job', 'team', 'sxsw']",Android App,Positive emotion,1,0,1,0
30,Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,Positive emotion,"['smart', 'madebymani', 'hollergram', 'ipad', 'app', 'sxsw', 'http', 'a3xvwc6', 'may', 'leav', 'vuvuzela', 'home']",Ipad or Iphone App,Positive emotion,1,0,1,0
31,You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,Positive emotion,"['must', 'app', 'ipad', 'go', 'sxsw', 'http', 'itun', 'appl', 'com', 'app', 'holler', 'gram', 'id420666439', 'hollergram']",Ipad or Iphone App,Positive emotion,1,0,1,0
32,"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",,No emotion toward brand or product,"['attn', 'sxsw', 'frine', 'mention', 'regist', 'gdgtlive', 'see', 'cobra', 'iradar', 'android', 'link']",Android,No emotion,0,0,0,0
33,Anyone at  #sxsw want to sell their old iPad?,,No emotion toward brand or product,"['anyon', 'sxsw', 'want', 'sell', 'old', 'ipad']",Ipad,No emotion,0,0,0,0
34,Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,,No emotion toward brand or product,"['anyon', 'sxsw', 'bought', 'new', 'ipad', 'want', 'sell', 'older', 'ipad']",Ipad,No emotion,0,0,0,0
35,"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",,No emotion toward brand or product,"['sxsw', 'oooh', 'mention', 'googl', 'launch', 'major', 'new', 'social', 'network', 'call', 'circl', 'possibl', 'today', 'link']",Google,No emotion,0,0,0,0
36,The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,Positive emotion,"['best', 'mention', 'first', 'line', 'ipad2', 'sxsw', 'quot', 'pop', 'quot', 'appl', 'store', 'event', 'planner', 'eventprof', 'pcma', 'engage365']",Apple,Positive emotion,1,0,1,0
37,SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,,No emotion toward brand or product,"['spin', 'play', 'new', 'concept', 'music', 'discoveri', 'ipad', 'mention', 'amp', 'spin', 'com', 'link', 'itun', 'sxsw', 'mention']",Ipad,No emotion,0,0,0,0
38,@mention  - False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,Negative emotion,"['mention', 'fals', 'alarm', 'googl', 'circl', 'come', 'ûòand', 'probabl', 'ever', 'link', 'googl', 'circl', 'social', 'sxsw']",Google,No emotion,0,1,0,0
39,VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,,No emotion toward brand or product,"['vatornew', 'googl', 'appl', 'forc', 'print', 'media', 'evolv', 'link', 'sxsw']",Apple,No emotion,0,0,0,0
40,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,Positive emotion,"['mention', 'great', 'weather', 'greet', 'sxsw', 'still', 'need', 'sweater', 'night', 'appl', 'put', 'quot', 'flash', 'store', 'quot', 'downtown', 'sell', 'ipad2']",Apple,Positive emotion,1,0,1,0
41,"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youÛªre getting friend... {link}",,No emotion toward brand or product,"['hootsuit', 'hootsuit', 'mobil', 'sxsw', 'updat', 'iphon', 'blackberri', 'amp', 'android', 'whether', 'ûªre', 'get', 'friend', 'link']",Iphone,No emotion,0,0,0,0
42,Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weÛªll make you one!,,No emotion toward brand or product,"['hey', 'sxsw', 'long', 'think', 'take', 'make', 'iphon', 'case', 'answer', 'mention', 'use', 'zazzlesxsw', 'ûªll', 'make', 'one']",Iphone,Negative emotion,0,0,0,1
43,Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},,No emotion toward brand or product,"['mashabl', 'ipad', 'take', 'sxsw', 'video', 'ipad', 'sxsw', 'gadget', 'link']",Ipad,No emotion,0,0,0,0
44,For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},,No emotion toward brand or product,"['pad', 'mention', 'new', 'ubersoci', 'iphon', 'app', 'store', 'includ', 'uberguid', 'sxsw', 'sponsor', 'link']",Ipad or Iphone App,No emotion,0,0,0,0
45,#IPad2 's Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,iPad or iPhone App,Positive emotion,"['ipad2', 'smartcov', 'open', 'instant', 'access', 'wait', 'get', 'one', 'link', 'appl', 'sxsw']",Apple,Positive emotion,1,0,1,0
46,Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app #SXSW {link},,Positive emotion,"['hand', 'held', 'hobo', 'drafthous', 'launch', 'hobo', 'shotgun', 'iphon', 'app', 'sxsw', 'link']",Ipad or Iphone App,No emotion,1,0,0,0
47,HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,Positive emotion,"['hooray', 'mention', 'appl', 'open', 'pop', 'store', 'austin', 'sxsw', 'mention', 'link']",Apple,No emotion,1,0,0,0
48,Orly....? ÛÏ@mention Google set to launch new social network #Circles today at #sxswÛ,,No emotion toward brand or product,"['orli', 'mention', 'googl', 'set', 'launch', 'new', 'social', 'network', 'circl', 'today', 'sxsw']",Google,No emotion,0,0,0,0
49,wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ,Apple,Positive emotion,"['wooooo', 'mention', 'appl', 'store', 'downtown', 'austin', 'open', 'til', 'midnight', 'sxsw']",Apple,No emotion,1,0,0,0
50,Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,,No emotion toward brand or product,"['khoi', 'vinh', 'mention', 'say', 'cond', 'nast', 'headlong', 'rush', 'ipad', 'publish', 'quot', 'fundament', 'misunderstand', 'quot', 'platform', 'sxsw']",Ipad,No emotion,0,0,0,0
51,"ÛÏ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",,No emotion toward brand or product,"['mention', 'link', 'help', 'forward', 'doc', 'anonym', 'account', 'techi', 'amp', 'ppl', 'help', 'jam', 'libya', 'sxsw']",,No emotion,0,0,0,0
52,÷¼ WHAT? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,No emotion toward brand or product,"['link', 'edchat', 'musedchat', 'sxsw', 'sxswi', 'classic', 'newtwitt']",,No emotion,0,0,0,0
53,".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",,No emotion toward brand or product,"['mention', 'mention', 'locat', 'base', 'fast', 'fun', 'futur', 'link', 'via', 'mention', 'sxsw']",,Positive emotion,0,0,1,0
54,ÛÏ@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswÛ @mention,,No emotion toward brand or product,"['mention', 'mention', 'googl', 'connect', 'digit', 'amp', 'physic', 'world', 'mobil', 'link', 'sxsw', 'mention']",Google,No emotion,0,0,0,0
55,ÛÏ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswÛ,Google,Positive emotion,"['mention', 'mention', 'talk', 'link', 'googl', 'effort', 'allow', 'user', 'open', 'system', 'bettercloud', 'sxsw']",Google,No emotion,1,0,0,0
56,"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",,No emotion toward brand or product,"['link', 'mention', 'quot', 'googl', 'tweet', 'quot', 'new', 'quot', 'think', 'speak', 'quot', 'mark', 'belinski', '911tweet', 'panel', 'sxsw']",Google,No emotion,0,0,0,0
57,{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,Positive emotion,"['link', 'mention', '1st', 'stop', 'sxsw', 'chao', 'amp', 'mention', 'hunt', 'austin', 'java', 'get', 'spi', 'game', 'chanc', 'win', 'ipad']",Ipad,No emotion,1,0,0,0
58,{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},,No emotion toward brand or product,"['link', 'mention', 'sxsw', 'check', 'holler', 'gram', 'ipad', 'app', 'mention', 'link']",Ipad or Iphone App,No emotion,0,0,0,0
59,@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},,No emotion toward brand or product,"['mention', 'mention', 'amp', 'mention', 'fun', 'googl', 'pic', 'sxsw', 'link']",Google,Positive emotion,0,0,1,0
60,&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,,No emotion toward brand or product,"['quot', 'via', 'mention', 'link', 'guy', 'kawasaki', 'talk', 'enchant', 'sxsw', 'know', 'stuff', 'book', 'internet', 'appl', 'sxsw', 'quot']",Apple,No emotion,0,0,0,0
61,"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",,No emotion toward brand or product,"['futuremf', 'mention', 'link', 'spec', 'recip', 'web', 'googl', 'search', 'link', 'sxsw']",Google,No emotion,0,0,0,0
62,#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,Positive emotion,"['omfg', 'mention', 'heard', 'appl', 'pop', 'store', 'downtown', 'austin', 'pic', 'alreadi', 'gowalla', 'link', 'sxsw', 'ipad2']",Apple,No emotion,1,0,0,0
63,"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,No emotion toward brand or product,"['smile', 'mention', 'think', 'appl', 'quot', 'pop', 'store', 'quot', 'austin', 'would', 'lot', 'interest', 'actual', 'know', 'pop', 'sxsw']",Apple,No emotion,0,0,0,0
64,Again? RT @mention Line at the Apple store is insane.. #sxsw,,Negative emotion,"['mention', 'line', 'appl', 'store', 'insan', 'sxsw']",Apple,Negative emotion,0,1,0,1
65,Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,,No emotion toward brand or product,"['agre', 'mention', 'wait', 'fiona', 'appl', 'town', 'somebodi', 'kidnap', 'put', 'record', 'studio', 'record', 'new', 'album', 'sxsw']",Apple,Positive emotion,0,0,1,0
66,At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,,No emotion toward brand or product,"['sxsw', 'mention', 'mention', 'wanna', 'buy', 'drink', '7pm', 'fado', '4th', 'link', 'join']",,No emotion,0,0,0,0
67,attending @mention iPad design headaches #sxsw {link},iPad,Negative emotion,"['attend', 'mention', 'ipad', 'design', 'headach', 'sxsw', 'link']",Ipad,Negative emotion,0,1,0,1
68,"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",,Negative emotion,"['boooo', 'mention', 'flipboard', 'develop', 'iphon', 'version', 'android', 'say', 'mention', 'sxsw']",Iphone,No emotion,0,1,0,0
69,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,Positive emotion,"['check', 'mention', 'mention', 'amp', 'mention', 'line', 'ipad', 'austin', 'power', 'sxswi', 'sxsw', 'link']",Ipad,No emotion,1,0,0,0
70,Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,,No emotion toward brand or product,"['check', 'mention', 'give', 'ad', 'valu', 'locat', 'base', 'servic', 'need', 'battl', 'check', 'fatigu', 'googl', 'pnid', 'sxsw']",Google,No emotion,0,0,0,0
71,Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,,No emotion toward brand or product,"['chilcott', 'mention', 'sxsw', 'stand', 'talk', 'blogger', 'staff', 'late', 'win', 'competit', 'best', 'tweet', 'mention', 'mention', 'shirt']",,Positive emotion,0,0,1,0
72,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,Positive emotion,"['mention', 'come', 'parti', 'googl', 'tonight', 'sxsw', 'link', 'band', 'food', 'art', 'ice', 'cream', 'nifti', 'interact', 'map']",Google,No emotion,1,0,0,0
73,Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},,No emotion toward brand or product,"['gowalla', 'mention', 'promis', 'launch', 'foursquar', 'check', 'groupon', 'reward', 'type', 'servic', 'sxsw', 'finger', 'cross', 'link']",,No emotion,0,0,0,0
74,"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",,No emotion toward brand or product,"['mention', 'sxsw', 'news', 'yahoo', 'com', 'loos', 'search', 'traffic', 'new', 'site', 'googl', 'com', 'doubt', 'last', 'tho', 'weird', 'name']",Google,No emotion,0,0,0,0
75,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,Positive emotion,"['holla', 'mention', 'googl', 'parti', 'best', 'ever', 'get', 'butt', 'sxsw']",Google,Positive emotion,1,0,1,0
76,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,Positive emotion,"['love', 'mention', 'iphon', 'case', 'sxsw', 'get', 'phone', 'fail']",Iphone,Positive emotion,1,0,1,0
77,I worship @mention {link} #SXSW,,No emotion toward brand or product,"['worship', 'mention', 'link', 'sxsw']",,No emotion,0,0,0,0
78,"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",,No emotion toward brand or product,"['ipad2', 'mention', 'droid', 'amp', 'mac', 'mention', 'agnerd', 'confess', 'use', 'laptop', 'ipad', 'amp', 'blackberri', 'follow', 'sxsw']",Ipad,No emotion,0,0,0,0
79,"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",,No emotion toward brand or product,"['launch', 'mention', 'sxsw', 'mention', 'mention', 'deni', 'social', 'network', 'call', 'circl', 'debut', 'today', 'despit', 'report', 'link']",,No emotion,0,0,0,0
80,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,Positive emotion,"['new', 'post', 'mention', 'iphon', 'app', 'make', 'easi', 'connect', 'social', 'network', 'peopl', 'meet', 'link', 'sxsw']",Ipad or Iphone App,No emotion,1,0,0,0
81,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,Positive emotion,"['nice', 'mention', 'iphon', 'app', 'behav', 'today', 'crash', 'yesterday', 'ridicul', 'sxsw']",Ipad or Iphone App,Positive emotion,1,0,1,0
82,Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,,No emotion toward brand or product,"['nice', 'mention', 'appl', 'open', 'popup', 'store', 'ipad', 'launch', 'downtown', 'austin', 'sxsw', 'link', 'via', 'mention']",Ipad,Positive emotion,0,0,1,0
83,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,Positive emotion,"['nice', 'mention', 'hey', 'appl', 'fan', 'get', 'peek', 'space', 'slate', 'pop', 'sxsw', 'appl', 'store', 'tomorrow', 'link']",Apple,Positive emotion,1,0,1,0
84,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,Positive emotion,"['one', 'thing', 'mention', 'great', 'get', 'great', 'earth', 'face', 'googl', 'compani', 'love', 'sxsw', 'sxwsi']",Google,Positive emotion,1,0,1,0
85,Stay tune @mention showcase #H4ckers {link} #SXSW,,No emotion toward brand or product,"['stay', 'tune', 'mention', 'showcas', 'h4cker', 'link', 'sxsw']",,No emotion,0,0,0,0
86,Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},,No emotion toward brand or product,"['thank', 'mention', 'mention', 'touchingstori', 'preso', 'sxsw', 'deck', 'link']",,No emotion,0,0,0,0
87,Thank you @mention for an awesome #sxsw party! {link},,No emotion toward brand or product,"['thank', 'mention', 'awesom', 'sxsw', 'parti', 'link']",,Positive emotion,0,0,1,0
88,"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",,No emotion toward brand or product,"['thank', 'mention', 'tri', 'contact', 'friend', 'famili', 'japan', 'mention', 'creat', 'person', 'finder', 'link', 'sxsw']",,No emotion,0,0,0,0
89,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,Positive emotion,"['thank', 'mention', 'mention', 'new', 'speech', 'ipad', 'app', 'showcas', 'sxsw', 'conf', 'link', 'sxswh', 'sxsh']",Ipad or Iphone App,No emotion,1,0,0,0
90,Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh,,I can't tell,"['thank', 'mention', 'publish', 'news', 'mention', 'new', 'medic', 'app', 'sxswi', 'conf', 'blog', 'link', 'sxsw', 'sxswh']",Android App,No emotion,0,0,0,0
91,Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,,No emotion toward brand or product,"['thank', 'mention', 'publish', 'news', 'new', 'medic', 'app', 'sxswi', 'conf', 'blog', 'link', 'sxsw', 'sxswh', 'mhealth']",Android App,No emotion,0,0,0,0
92,What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,Negative emotion,"['mention', 'sxsw', 'provid', 'iphon', 'charger', 'chang', 'mind', 'go', 'next', 'year']",Iphone,No emotion,0,1,0,0
93,Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,,No emotion toward brand or product,"['wonder', 'mention', 'amp', 'mention', 'appl', 'flashmob', 'tcrn', 'fcs45j', 'sxsw', 'ipad2']",Apple,No emotion,0,0,0,0
